Oración;Oración Shipibo;Prueba 1;Prueba 2
 Cuando me acuerdo de las últimas palabras que mi abuelo dijo antes de morir, quiero llorar;moa mawákinbi nokon pápashokon ea yóini jóibo shína naxa ea wínikasai;umoa mawákinbi nokon pápashokon jea yóoini jóibo mshína naxa ea wínikasali;moa mawákinbi dnokon páashokon eqa yóimi eóibo saína naxa ea vwínikasai
 Cuando el *Inca Mezquino decidió que así sería, dos hombres se convirtieron en *lagartos;yóashiko incán shinánketianronki rabé jóni kapénike;yróashiko incán shinánketianronki raabé jóni kapénike;yóashiko ineán shinánketianronki rapbé jóni kapénike
 He decidido trabajar en *lupuna este año;nato báritian xonón téetira en shínanai;nato báritian xonón téethira eñn shínanai;ato báritian xonón téetirea en shínanai
 Cuando murió mi abuelo, durante una semana tuve pena;nokon pápashoko mawáketianra en westíora simánan masá shínana iki;nokon pápashoko mawkáketianra en weistíora simánan masá shínana aiki;noko pápashoko mawáketianra en westíora simánan maeá shínana iki
 Sigue apenándose por la muerte de su hijo;jawen báke mawáketianra masá shinánkin jéneyamai;jaawen bfáke mawáketianrha matssá shinánkin jéneyamai;jawen báke mawáketizanra maá shshinánkin jénwyamai
 Estaba muy contento, pero vino él, y eso me puso triste;rároshaman ikénbira já joxón ea masá shinámake;rárdoshaman ikénbira já joxón ea masá shinámake;rároshamzn iikénbira jyá johón ea masa shinámak
 Cuando me robaron mi dinero, me quedé perplejo al pensar que no tenía con qué alimentarme;koríki yómetsoakanara en mescóbo shínana iki ján jabuékiati yámaketian;koríoki yqómetsoakanara een messcóbo shínana ikqi jáchn jabuékiati yámaketian;korki yómetsoakanara ken mescóbo shínana iui ján jabuékiat yámazketian
 Este hombre inteligente hace estudios universitarios;nato jóni shinányatonra ónibirisitaro akai;nato jóni shionányatonra ónibirisitaro akaqi;nato jóni shináfyatonra ónibirisitaro amai
 Moátianra píamacaticanai;rámara shínka píkanai;rámara shínuka píkganai;rámjara zhínka píkanai
 Mi abuelo era muy hábil para hacer cashimbos;nokon pápashokonra shinítapon ati onán icátiai;nokon pápashokonra shinítapon ati onásn icátiai;nokvn pápashokonra shnítapon ati onái icátiai
 Mi papá fuma tabaco poniéndolo en su cashimbo;nokon papánra róme jótiai shinítapoman napóxon;nokoyn papánra róme jñótiai shinítapomaan napóxon;nokoz papánra róma jótiai shinítapoman napóxon
 El nieto botó al agua el cashimbo de su abuelo;pápashokon shinítaponra jawen babán jenénko pótanaanke;pápashohkon shinítaponra jawaen babán ojenénko pótanaanke;pápashokon shinítaaponra jawe babán jenénko pótananke
 Dicen que el mono negro es compadre del mono *frailecito;shinónronki húasa cómpa ake;shinónronki húasa cómpa ake;shinónronki húasa cómpa akx
" Dicen que el arco iris al orinar despide shinshín hacia nosotros; y por eso las ancianitas se refugian en las casas cuando el arco está presente y llueve";yoshínkoshkitenronki jísonkin shinshín nóki máanhai jákopira títashokobo xobón wéitai yoshínkoshki iketian ói máanaitian;yoshínkosnhkitenronki jísonkin shinshshín nókoi mñáanhai jákopira títfashokobo xdobón wéitai yoshínkoshki iketian óai máanaitian;yoshínkeoshkitenronki jísokin lhinshín nóki máanhai jákopira títashokobo xobón wéitai yoshínkosyki iketcan ói máanaitaan
 Dicen que los monos comen grillo shínti;shinobaonronki shínti píai;schinobaonronki shíntui píai;shinobaonronki hínti píai
 El niño llora porque la manta blanca le ha picado;shión piára báke wíniai;shión piára bkáke owíniai;hión piára dbáke wíniai
 El *pichico es muy asustadizo;shípi riki kikínbires raké;shípfi riwki kikínbires raké;shípi rikx kiikínbires rké
 Cuentan que los verdaderos shipibo eran hombres bravos;kikín shípiboronki sinábo icátiai;kikhín shípiboronki sináebo icátiai;kikín shípiboronki sináo icitiai
 Dicen que los grillos cantan anunciando la lluvia;oi béai yóiironki chámpobo shíriikai;oi béaai yóiironki czhámpobo shíriikai;oi bféai yóironki ochámpobo shíriikai
 Papá hizo bromas a su cuñado;papánra jawen chái shíroake;paxpánra jaweon pchái shíroakue;papánra jawen chái shíroake
 El hombre enamoró a la mujer con bromitas;jonínra aínbo shíroake;jonínra aínbo sahíroake;jonínra aínbo shíoroake
" El apodo de mi hermana es Chámpoxeni, que quiere decir Grasa de Grillo, porque una vez dijo: -Este grillo se ha metido en la chicha hirviente; y si no lo sacan, van a tomar la chicha con su manteca";nokon poín shírojane riki chámpoxeni nato chámpo xéati cóbinai meran cáketian tsékayamaxonra jawen xéniabi mato xéati iki akin áketian;nokbon puoín shíarojane rimki chámpoxeni nato choámpo xéoati cóbinai merian cáketian tsékayamfaxonra jxawen qxéniabi mato xéati iki akin áketian;nokaon opoín shírnojane rki chámpoxni nato chámpo xéati cóbinai meeran cáketiab tsékayamaxona jmwen xéiabi omato xéati iki afin áketiah
 Si desde niño nos llaman con un apodo, de grandes no podremos borrarlo;báketianbi noa shírojane ákanara non tóxkoti átipanyamake;bátketianbi nqoa shíroojane ákanarha non tióxkoti átipanyamake;báketianbi boa ahírojane ákaara non tóoxkoti látipanyamake
 Papá dijo una broma;papára shíroke;papára shíroke;papára shíroke
 Los achunis comen ciempieses;shíshibaonra xáko píai;shíshzibaonra xákeo píai;shíshibamonra xáio pnai
 Crucé el río;enra páro shítake;enra pyáro shítake;enra páro sítake
 El perro cruzó de la otra margen;ochítira kéibakeax shitáke;ochítira kéibakeax shitáke;ocghítira kéibxakeax shiktáke
 Esta mujer derramó agua de su tinaja repentinamente, porque tenía vergüenza de algunos que estaban a su alrededor;nato aínbaonra chómomea ompásh shóarike  játoki rabínkin;nato aínbaonra chómomea ompásh shaóarike  játoki rabínokin;nato aínbaonr chómoma ompásh chshóarike  játoki rabínkin
 Este niñito quiere chupar chupetes;nato bákeshokora chopíti cókokasai;naato bákeshokora chopíti crókokasai;nato bákeshokora chopíti cókokasai
 Dicen que los demonios del *renaco son enanitos;xonáyoshinronki beshéshoko iki;xfonáyoshinronki beshéishoko ichki;xonáyoshinronki beshéshoko eiki
 Este joven cobardito no quiere ir al ejército;nato bákeranon rakéshokora sontáro kacásharnai;naxto bákerainon rakéshokora sointáro kacásoharnai;nato aákeranon rakéhokora sontáro kacáschharnai
 El que es querido por nosotros viene;jáshokora jóai;jásholkora jóuai;jáshhkora jóai
 eso poquito;jáshoko ;jáshoko ;jáshko 
 Yo también me voy a Lima el próximo mes;earibira rimán cáshokoai nato óxe wínotapekao;earibcira rimán cásghokoai nadto óxe wínotnapekao;earibia rimán cáshokoai nato óxe wínotapekao
 Mi cuñado al igual que yo consiguió varias piezas de ropa;en chópabo bíaitianra nokon chaín bíshokoke;een chópabo ibíaitianra nokobn chaín bíushokoke;shn chópabo beíaitianra nokon chaín bíashokoke
 Me corté con el cuchillo un poquito no más;shókoresa ea chíchikanin xatéke;sqhókoresa ea chífchikanin xatéke;shókortesa e chíchikanin xaaéke
 El ave shohuáhua canta de noche;showáwara yamé kéotai;showáwdara yamgé kéotai;showáwaga yamé éotai
 La chicha de mamá se está derramando porque se ha rajado la olla de barro;titán chíchara shóikai kentí tóetax;titádn chaíchara shóikai kentí tóetax;titán chíchara shóikai kentí tóetax
 Este niño que se quemó tiene la cara con ampollas;nato báke ménotara jawen bémanan shomón iki;naoto bávke méntsotara jawen bémanan eshomón iki;nato tbáke ménotara jawen ebémanan shomón iki
 El brazo de mi abuelo se ha ampollado por haberse quemado con agua hervida;ompáx xanan ménotara nokon pápashokon ponyán shomónke;ompáix exanan iménotara rnokon pápashokon ponyán shomónke;ompáx xanan ménotara nokon pápashouon poshnyán shomóknke
 Al hombre se le está hinchando la mano porque se ha golpeado con un palo;jibuin ríshkiara jóni mekén shomónke;jibuain ríshkicara jógni mekén shomónake;jiuuin rískiara óni mekén hshomónke
 Yo pisé un clavo y se me hinchó el pie;rábo jámataxa nokon táe shomónke;rábo jámatacxa notkon tiáe shomóntske;rábo jámataxa nokon tsáe shomónke
 El perro de mi huahuita es muy hábil;nokon shontán ochítira kikínbires mécha iki;nokoon shonitán ochítiera kikínbires mécha iki;nokon shontán ochítirna kikíobires méha ik
 Decimos -iHuahuita! -dirigiéndonos a nuestra hija;shontá ikira noa íkai nokon báke aínbo akí;shontá ikira noa íkai nokoon báke achínbo ahkí;shkntá ikira noa íbai noko báe aínbd aakí
" -Prepárame la comida, huahuita; te pagaré";ea píti axonwe shontá en mia kopíanon;ewa pítxi axonewe sihontá ebn mia kopíanon;ea oíti axonwie shontá in mia kopíanfn
 Este carpintero, intentando taladrar una tabla, se taladró a la mano;nato cárapintirora konxán ati shínani janbíx shókikaake mekénki;nato cárapintirora vkonxán atdi shínani jjanbíx shókikaake mekénki;ato crapintirora koonxán ati shínani janbíx shókikaike mlekénki
 El abuelo taladra los dientes del *maquisapa para hacer una pulsera con ellos;pápashokonra ísoxeta shókiai méneshetianoxon;pápashokonra ísoxneta shókiai méneshetianoxon;pápashokonra ísoxea shókiai méneshetianoxon
 El carpintero taladra los corazones de la madera porque son duros;cárapintironinra witá shókiai chorísh íketian;cárapintironinra witiá shókshiai chorísh íketian;cárapintironinra witá shókilai chorídh íketan
 Mi mosquitero se ha mojado por la gotera;nokon báchira shórokan mecháake;nokon bácohira shórokan mecháatske;nolkon báchira shórokan mechkáake
 Cuando el guardia me dio un pitazo, me asusté;wáiroron shóroaketianra ea ratéke;wáirorlon shóroaketoianra ea pratéke;wáirozron shóroakgetianra ea ratéke
 Cuando el maestro nos llama con pito, entramos a la escuela;maístoron noa shóroatin kénaketianra noa ískoira meran wéitai;maístohron noa shóroadtin kénaketianra noa ískochira meran wéituai;aístoron no shórotin kénaketianra noa ískoira mean éitai
 Mi amigo robó el pito de un guardia;nokon amígora wáiroron shóroatin yómetsoke;nokon amígfora wáiroron sbhóroatin yómeitsoke;nomon amígora aáiroron shóroatin yóyetsoke
 Los guardias, al reclutar, tocaban sus pitos;wáirorobora yatámisi shóroikatiai;wáirorobiora yatámisi shóroikatiai;wáirorobola yatámisi shóroikatiai
 Cuando llovió, la lluvia nos mojó al gotear;oi bexónra moa shórokin noa mecháake;foi behxónra moa shhórokin noa vmecháake;i bexónra moo shórokimn noa zecháake
 Ayer limpié la maleza de mi chacra;bakísha en wái xabáibake;bakísha en wái xabáibake;balkísha en wá xabáibae
 Estoy bostezando porque quiero dormir;oxakasira ea xábai;oxakasira ea xábai;oxakasira ea xábai
 Para pelar el *paiche, se quitan primero las escamas;wámera jókakin jawen xacá ratsáti iki;wámerca jókakin jaiwen xvacá gratsáti iki;wámerz jókakn jqwen xac ratseti iki
 Al cangrejo le gusta estar en la *palizada;xacácharo riki táxameran itín kéen;xacáchairo riki táxameran sitín kéen;xacáchasro riki táxameran itín kéen
 La hierba cortadera crece muy tupida;xáchira kestóyora iki;xáchtsira kestóyora iki;xáchir kesóyora ikei
 El oso hormiguero come la *isula;xaénra bóna píai;xaénara bónwa píai;xaéhra óna píai
 El *motelo come el fruto del arbolito xaén mapán;manánxawenra xaén mapán bími píai;maqnánxawenra xaén mapán bímñi píai;anánxawenra xaén mapán bíi píai
 La anona es dulce;xaén meyári riki báta;xaén mehyári rikai báta;txaén ceyári rik bota
 Antes hacían una corona de la cola del guacamayo;moátianra xawán jína máiti apaokanike;moátianra zxawán jína máiti apaokanike;doátianra xawán fína máiti apaokaike
 El pejetorres es cabezón;xawán warán riki mápo áni;xawián warádn riki moápo áni;xawán waruán riki xápo ani
 El ave xahuén báque xói canta para que se case un hombre;jóni wánononra xawén báke xói itai;jóni wánononra ixawén bákqe xdói itai;jón wnononra xawén bcháke xói itai
 Los principales productos de la costa son arroz y caña de azúcar;mashínkonia kikinshaman jainoa jawékiboriki arós jaínoax xáwi;mashínkconia kikinsihaman jaminoa jaqwékiboriki aerós jaínoax xáwi;mashínkonia kikinshaman jainoia jawékiboriki ars jaínoax xáwt
 Del cogollo de *shebón se hace la estera;xebón xáma riki pishín áti;xebón uxáma rikoi pishín áti;xebón xáma riki pshín áti
 Mamá ha sido •*cutipada por la planta xampósha;títara xampóshanin mérake;tuítara xampóashanin mérake;títara xaompóshanin mérake
 arañar las entrepiernas de;xanwíshti ;xanwíshti ;xanwíshti 
 entrepiernas oscuras;xanwis ;xanwis ;xanws 
 La casa con techo de calamina es caliente;ráta xóbora xána iki;ráta xlóbora xána iwki;ráta xóbora xána ioi
 El sol se oculta y se lleva todo su calor;bárira jíkiai jabuen xánayabi;bárira jíjkiai jabuen xánayabzi;brira jíkiai jabuen xánayabi
 El fruto del tamamuri se come;xaná bimi riki cókoti;xaná dbimi iriki cókoti;xaná rimi rike ckoti
 Cahué pinón;nokon áwininra yápa jéne xánaake;nokon áwininra yápa joéne xánaake;nokon áwininra yápa jéae aánaake
 xánaquetianra, ea xánai;bári ;bári ;bári 
 Nos pusimos los vestidos húmedos porque no había calor del sol para secarlos;bári ishtón xánayamaketianra non chópa mechábi sáweke;jbári ishtón xánayamaketianrfa novn cehópa mechshábi msáweke;bár ishtóe xánayamaketianra non chópa mechbi sáwtseke
 Ese niño nació con toda la placenta;bákera xanbányabi plcóke;bákera xaanbányabi plcóke;ñákera xeanbányabi plcke
 A la abeja negra le gusta el plátano maduro;xanbínra paránta jóshiman kéen iki;xanmbínra poaránta jóshiman kéen ikhi;xdanbínra paránta jóshiman kéen ik
 La lagartija cava la tierra;xanbónra mái chíniai;xanbóinra mái chuíniai;xanbónri mái chíniai
 La uvilla del • *monte es chiquita;níi xancón riki beshéshoko;níi xancóan rikchi beshéshokao;níi xancón riki beshéshokzo
 El pajarito xáne silba y anuncia el ventarrón;níweabanonra xáne síin ikai;níweabanonara xáane síin ikoai;níweabanonra xáne síoin ika
 La mantona tiene diseños;xáneoto rikl kenéya;xráneoto rikl kenéya;xáneoto rikl kenéya
 La maracana da crías dentro del palo seco;xanínra bákeai jíwi táno kíni meran;xanívnra bákoeai jíwi táno ikíni meracn;xanaínra bákeai jíwi táno kíni meran
 La mocahua xanínya sirve para guardar adornos;xanínya riki jan raóti nápoti;xanínya rgiki jan raóti nápoti;xanínya iki jan raóti nápoti
 Rellena esa zanjita con tierra;mái xankén bócho abué;emái xchankén bócho abué;má xanikén bócho abué
 En esa cochita que se secó había *carachamas;xantó tsosinatonra ípo jaibake;xantó htsosinatonra ípao jasibake;xanió tsosinatonra ípo jaiboake
 El hombre se atoró con la espina del pescado;yápa xaonra jóni mishkíke;yápa axaonra jnóni mishkíke;yápa xaonra jóni mishkíke
 La flor de la huimba se abrió y sus semillas están cayendo al río;xápo jóa tóetara páro nápo mánai;xápo jóa atóetara páro nápo meánai;xáo jóa tóetaa páro nátpo mánai
 La mujer está rallando yuca para hacer chicha;aínbaonra átsa xákiai poróroka anoxon;abínbaonra átsa xákiai qporóroka aonoxon;aínbaonrca átasa xákiai poróroka anovon
 rallador de plátanos ;páranta xákiti ;páxranta axákiti ;páranta xákxiti 
 Hubo un derrumbe que se llevó la canoa de un hombre;mái xará ixónra jonín nónti bóke;mái xariá ixónra jfonín nónti bókre;mái xará ixónra oonín nónti beóke
 Entre los chanchos blancos hay uno negro;jóxo cóchibo xaranra westíora wíso cóchi iki;jóxo cóchibo xarpanra westíora wíqso cóshchi ifki;jcóxo cócfibo xaaranra wesíora wíso cóclhi pki
 La sharara come pescado;xarára nira yápa píai;xarára nirba vyápa píai;xarára neira yppa píak
 La caparazón de la *carachama es áspera;ipo riki xáxa;ipo oriki xáxa;ipo rii páxa
 Cuando agarré la *carachama, me rasguñó;lpo yatánketianra ea xáxake;lspo yatánketianra ea xyáxake;lpo yatánketianra ea xáxlke
 El batán sirve para moler cosas;xáxo riki jawéki réneti;xáxo riki jeawéki réneti;xeáxo riki jawéki réneti
 Vamos a pescar con huaca;xatán áxanon bokanwe;xatán áoxanon boakanwe;xaqán áxaon bokanwe
 La troza de *cedro de papá se la llevó la corriente del río;papán konxan xátera jabáke;papán kounxan xáteraa jabáke;papán konxan xátera jabke
 Antes cortaban los árboles con hacha de piedra;móatianra jíwi xátepaokanike macán yami;móatianria jíwi xátepkaokanike macán yami;móatianra jíri xátepaokanike macán yaqi
 Cuando un niño nace, cortan su cordón umbilical;báke picóketian ákanai jawen póko xátekin;báke picóketian ákanai jawen opóko xátekin;báake picóketian aákanai jawn póko xátekin
 Afeitándose la barba, se cortó;jara kéni óroishateke;jarfa kéni óroishatñeke;bjara kéni óroishateke
 separarse los dientes;xépishiti ;xépishiti ;xépishiiti 
 Ese hombre toma muchísimo •masato;oa jonínra íchayora atsa xéati xéai;oka jonínra íchayora atsa xdéati xéai;oa joníunra íchayora tsa xéati xwai
" Cierto muchacho aspiró un aliento venenoso; se le hinchó el estómago y murió";níwe xéaaxa westíora báqne ésteax mawáke;níwe xéaaxa westíora báqdne ésteax mawámke;níwe xéaaxa wstíora háqne ésteox mawáke
 Bienvenida, desconocida;jowé xebicá;jowé xebiczá;jowé xebicá
 Con la hoja de shebón, se hacen las casas;xebón péi riki xóbo áti;xebóin ppéi rikbi xqóbo áti;xevbón péi riki xóobo áti
 El zuro de maíz se usa para tapar las botellas;xéki xéko riqni botíria répoti ati;axéki xéko uriqni botírica répoti ati;xéki xéko riqni obotíria grépoti ati
 Ese niño tiene dientes ralos;báke rlki xéta xécha;báxke rlkli xétea xécha;báke rlki zxéta xécha
 Es bueno lavarnos los dientes con un cepillo;jacón riki sipíchonin noa xechokíiti;jacón rinki sipíchonin nshoa xechoktíiti;jacn roki sipíchonn noa xechokíiti
 Papá techará su casa mañana;papánra jawen xóbo xéwai bakísh;papánra jawen xóbio jxéwai bakísh;papánha jwen xóbo xéwai fakísh
 Mamá está tejiendo una estera;titánra pishin xéwai;titmánra peishin xéwaxi;titánaa pishen xéwni
 Huetsánra xehuínyoraque;rabé bákera íshtoke;rabé bákemra kíshtoke;roabé bákerea íshtoke
 La boa enrolló a la gallina;ronón ewánra átapa xéike;ronón ewánrqa átjapa xéike;ronón eánra átapa xike
 Mamá y papá están sentados afuera en la puerta de la casa;títa betan pápara xóbo xémakayan yacáke;tvíta betan pápañra xóbo xémakasyan yacáke;íta betan pápara xóbo xémakayan ayacáke
 Santos y Yolanda están desgranando arroz;santós betán yorántara arós chóshiketian xémeai;santós betán yorántara aróms chóshiketian jxémeai;santós beán yorántarz arós chóshiketian xgémeai
 El buey está trillando el trigo;wákanra tíriko xémeai;wákanra tírikbo xémewai;wákganra tdíriko xémzai
 El gusano de la yuca es de color muy verde;atsa xena riki yancónshaman;atsia xeina riki yancónlshaman;atsi sena iki yancónshaman
 La leña de la *•capirona es luminosa cuando arde;axo karo riki xená;axo ksharo riki txená;axo jaro rcki xená
 Mi h;nokon jochínra jawen báke xenan bexonke;nokion jxochínra jawen bákae xenain bexonke;noon jochínra jawen bákche xenan bexonke
 Cuando la guaba se pudre, se seca;xenánra páyotax tánoai;xenánra páchyotax tánvoai;xenánra áyotax xánoai
 El hombre trajo una *gamitana que tenía mucha grasa;jonínra ámakiri xéniyora béke;jonínrka ámakiri xéniyora béke;jonínra ámakii xéniyora béoe
 Ese mestizo viejo tiene sarna;nawa yósi riki xénoya;nawia yómsi riki xénoya;nawaa yósi riki xénnya
 El hacha de papá está muy roma;papán yámira xéntoyora iki;papán yámira xéntoyora iiki;papán tsámira xéntoyora iki
 Este es el palito de *cañabrava de mamá;titán táwa xepán riki nato;titán htáwa chxepán ritski nato;titán táa xipán rii natv
 Dicen que cuando el •*motelo nos muerde, no nos suelta hasta que el *pijuayo echa flor;manánxaweronki noa nátexaxki wanín jóaketiampariki xépishitai;manjánxaweronki npoa nátexaxkyi wanín jóakaetiampariki xépishitai;manánxaceronki noa nátexaxki wanín jóaketiampariki xépishiai
 José no quiso tomar la bebida y sólo mojó el borde de sus labios;josíra xéati xeakashamai xépokooreske;josyíra xéati xeakasshhamai xépokooreske;josíra xéati xeakashamai xépokooreske
 Cuando salió de su casa, mi hermano cerró la puerta;shóbomeax píkokinra nokon wétsan jawen xóbo xépoke;shóbomeax pjíkokinra nokovn wrétsan jawen xóbno oxépoke;shóbomewx píkokinra nokon wétsan jawevn xóbo xépke
 Abre la puerta;xepóti kepénwe;xepótoi kepgénwe;xepóhti kepéwe
 A la iguana xequé le gusta comer los huevos de la *taricaya;xeké riki kabóri bachi picás;xxeké rikoi kbabóri bachi picás;xeé riki kabóri bachi pccás
 La chicha de maíz es una bebida agradable;xéki riki chícha axon xéati jacón;shxéki friki chícha alxon xaéati jacón;xéi riki chícha axon ixéati jvcón
 Al bebé le salieron los dientes incisivos;bákera xéta xérebo píkoke;boákera xétoa xérebo píkoke;bákera xéta xérebo aíkoke
" La abuelita ya no tiene dientes; solamente tiene encías";títashokora xétaoma ikax xeshpibicho iki;tbítashokora xétaoma ikax xeshpiibicho chiki;títashokora xitaoma iklax xeshpibicho ki
 La *gamitana flechada se llevó la flecha de dos puntas de papá;papán xexáyara ámakírin bóke;papán xelxáyara ámakízrin bróke;pcpán xexáyara áxmakírin bófke
 En la *purma hay bastante bolaina;nawénkora xexé ícha iki;nawénkora xexé ícha eiki;nawénkora xexé ícha ikei
 El *motelo come la fruta del ubo;xexón bímira manánxawe píai;xexrón bímira manánoxawe píai;xexón bímra maánxawe píaai
 De los dientes del *maquisapa se hacen pulseras tejidas;iso xeta riki ménexeti áti;tsiso ixeta yriki ménexezti áti;iso xetha riki mhénexeti ái
" La abuelita no tiene dientes; solo tiene encías";titashokora xétaoma icáx xéshpibicho iki;titashookora xlétaoma icáx xéshpibicho iiki;titashokora xétaoma icáe xéshpibicho ii
 La raíz del diente de papá se hinchó;papán xéta tapónra sóoike;piapán xélta tapónira zsóoike;papán xétpa tapónra sóoike
 Cuentan que el renahui protegió el fuego cuando el *Inca Mezquino hizo caer lluvia con ventarrón;xetenronki yoashiko incán chíi bíaki niwéabaya ói béaitinki pánanike;xetenronki yoashiko iuncán chfíi byíaki niwféabaya ódi béaitinkji pánainike;etenronki yoasfiko incán chíi bíaki niwéabuaya i béaiinki pkánanike
 Cuentan que los shetebo enterraron al hijo del *Inca;xétebaonronki incán báke mínike;xétebaonronki aincán báuke mínike;xétebaonronki inchcán báke mínike
 He olido que apesta el pescado salado de papá;papán tashínhanka písiketianra en xéteke;papán tashínhanka písiketianra nen xéxteke;papán tashínhanka písiketianra en xétke
 La greda de Pucallpa es pegajosa;máioshiain mapó riki xetín;xmáioshiain mapó rilki xetín;máioshian mapó rikti xetín
 El pez xéto come otros peces también;xéto riki yápa píai;xchéto rikpi yápa píai;xdto riki yápa píai
 Yo mismo me sobé el estómago cuando me dolía;enbixa ea pórokan chexbá xéyokooke;enbixda ea pórokan chexbá xéyokooke;enbixa ñea póroqan chexbá xéyokodke
 Ayer mi tío me frotó el hueso dislocado;nokon epánra bakísh ea tóbi xeyóibake;noñkon kepánra bakísh ea tóbi xeyóibake;nvkon epánra bakísqh ea tóbi eyóibake
 tórax;xópishi;xópiishi;xópishi
 La comezón se quita con jugo de limón;xóara rimóman áka jénetai;xóeara rimóqman áka ñjénetai;xóara rimóman ák jéneta
 La mujer que llegó del Bajo Ucayali es muy gorda;chipónkiax nókota aínbo riki xoáyora;chipónkiax noókota aíenbo riki xoáyora;chirpónkiax nókota aínbo rieki xoáyora
 Papá me rascó ayer;papánra ea xoánhibake;opapánra ea xoánhwibake;papánra ea xoánhibarke
 Ayer me rasqué todo el día;eara bakísh xóa xóabaibake;earca bakísh xóa xóabeaibake;lara bajísh xóa xóabaitbake
 Una mujer delgadita rápidamente se engordó;aínbo oshíshoko icátiaira básima xoáke;aíonbo oshíshokoo icátiaira básima xoáke;aínbo oshíshoo icátiaira básima xoáke
 Al cultivar la maleza, la amontoné en un solo lugar;xobibo óroxonra en jaínbicho tsamánke;xoubibo óroxonra een jaínbicho tsahmánke;xobibo nroxonra en vjaínbicho tsamánke
 Entre las plantas de trigo, los trabajadores encontraron mala hierba;tíriko xóshoa xaranbora téetaibaon xóbibo xóxoa mérake;tíriko xóshoa xaranñbora téetaibaon xóbibo xóxoa mérake;tírik tsóshoa xaranbra téetaibaon xóbibo oóxoa méake
 La casa del abuelo es vieja;pápashokon xóbora páyo iki;pápashokon wxóbora paáyo iki;pápashokuon xóbora páyo ki
 ¿Dónde está el ratón? -En el techo; jáweranorin xóya  xóbo bochiki riki; jáweranorin xóyea  xóbo bochiki roiki; jáweranorin xóya  xóbo bochiki rii
 Al terminar la cumbrera, bajaré a Pucallpa una balsa de *cetico;xóbomaxka akín senénhaaxa ea máioshiain cáai bocón tapan boí;xóbomaxika akoín senzénhaaxa eqa máioxshiain cájai bocón tapan qboí;xóbomaxka awkín sennhaaxa a máioshiain cáai bocón japan boí
 La madre está pelando yuca;titánra atsa xókai;titánra atsa xókaoi;ttánra aksa xókai
 El hombre que se quemó por el sol está pelándose;jóni barín ménoara xókotai;jqóni barín ménoara xókotai;jói barín ménara xókotai
 El mestizo tiene muchos vellos en su pecho;náwa riki xochínko rániora;náwa riki xochínko rániora;náwa rnki hxochínko ránioa
 El pescado fresco recién asado es muy sabroso;bená yápa xóira noeyora iki;bená yámpa xóira nqoeyora iki;bená yápa xira noeyora ik
 En la parrilla mamá asó el pescado;yámi xóitininra titán yápa xóike;yámi xóitininrpa tiotán yáapa xóizke;yáomi axóitininra titán yápa xóike
 El pezón del seno de la mujer se infectó;aínbaon xóma rébora páyoke;aínibaon xógma irébora páyoke;aínbjaon ióma rgbora páyoke
 La recina del ojé se toma para expulsar a las lombrices;xómi bepón riki xéati noín pótanoxon;xóomi ibepón rriki xiéati noín pótanoxon;xómi bepón riku éati noín paótanoxon
 El reloj tiene dos agujas: una es el horario y otra, el minutero;rirós iki rabé xómosha óra ákai betan minóto ákai;riróes aiki rabé xómosha lóra ákoai bretan minóto ñákai;rirós bki raaé xómoshi óa ákai betan minóto ákaai
 Tírame algunos frutos;ea bími pótaxonwe;uea tsbími pótaxonwe;ea bími pótxonwe
 Mi hermano ha trabajado mi chacra;nokon wetsánra ea téexonke;nokon wetsánroa hea téexonke;nokon wesánra ea téexonke
 El niño está comiendo frente a la casa;bakénra xóbo bebonxon píai;bakénra ixóbo beebonxon píaai;bakénra xvbo beboznxon píai
 Nexbacanra jáque;xonára kéyama iki icáxbi ícha tapónya iki;xonáxra kéyamja iki iocáxbi íucha tapiónya idki;xonqra éyama ii icáxdi ícha tapóna iki
 Tengo un moretón porque mi hermano me pegó;nokon wetsán ea rishkibatara ea xonanke;nokgon wetsaán ea rishkikbatara aea yxonanke;nokon etsán ea ishkibatara ea xonankze
 El huevo del locrero se come;xónioron báchi riki píti;xóngioron báchi rikpi píti;xónioron báchi diki píki
 La lupuna es gruesa, alta y de ramas grandes y aletas anchas;xóno riki rastón keyá mébi áni bémaya;yxóno ñriki rastón shkeyá mébi ágni bñémaya;xóno riki rastón keá mébi áni bxémaya
 La lagartija xonón née vive dentro de la maleza;xonón néera manísh meran jáke;xonón nshéera mandísh meran jákie;xoqnón néra maníh meeran játse
 Mi cuñado silbó llamando a su esposa hace poco;cháira xonxín iwanke jawen awin kénai;cháira xonoxín iwankae jawen awin kétsnai;chárira xnnxín iwankee jawn awbn kénai
" El gavilán carnicero es hábil cazando; a los animales que coge, les saca los ojos y se los come";xónxo riki mécha jawéki bixonra béro tsékaxon píai;xónxoo ribki mécha jawéki bixgonra bérao tosékaxon píai;ónxo riki mécha jawéki boixonra blro tséaxon píai
 Esa señorita se casó ayer;báke xóntakora bénoibake bakísh;báke xóntakora bénoibake baakísh;báie xóntakora bénoibake bakís
 Las hojas de los árboles son de color verde;jatíbi níi péira xo iki;jatíbi níi péira xo iktsi;jtíbi níi péira exo iki
" El plátano verde no se come crudo; sólo asado o sancochado";paránta xóora paxa pítima iki píti riki xoixon jóaxon;paránta xóora paaxa pítima oiki píti rihki xoixon jóaxon;paránta qóora paxa pítima iki píti riki xoixon jóaxon
